processed_food_id,fdc_id,match_ratio
0,2727578,0.5
0,2003590,0.5
2,332864,0.0833
2,746785,0.0833
2,2514747,0.0833
2,2727570,0.0833
2,2727571,0.0833
2,330869,0.0833
2,2514743,0.0833
2,2514744,0.0833
2,2514745,0.0833
2,2514746,0.0833
2,2262075,0.0833
2,746781,0.0833
4,790146,0.04
4,2003593,0.04
4,746765,0.04
4,1999629,0.04
4,325287,0.04
4,2710826,0.04
4,747442,0.04
4,2710835,0.04
4,2710839,0.04
4,335927,0.04
4,2710840,0.04
4,2710841,0.04
4,2710842,0.04
4,2644289,0.04
4,1104962,0.04
4,2644290,0.04
4,2644291,0.04
4,790214,0.04
4,1750347,0.04
4,323793,0.04
4,747997,0.04
4,329830,0.04
4,325871,0.04
4,323697,0.04
4,2512381,0.04
5,2710826,1.0
6,2685568,0.0526
6,327046,0.0526
6,2346389,0.0526
6,2346391,0.0526
6,2258588,0.0526
6,2346400,0.0526
6,2727585,0.0526
6,2346407,0.0526
6,2710823,0.0526
6,2346413,0.0526
6,2710831,0.0526
6,790577,0.0526
6,2710836,0.0526
6,1104962,0.0526
6,2644291,0.0526
6,321611,0.0526
6,2263891,0.0526
6,790646,0.0526
6,332791,0.0526
7,1750337,0.1111
7,1104705,0.1111
7,324038,0.1111
7,2685579,0.1111
7,1999630,0.1111
7,2257044,0.1111
7,746777,0.1111
7,332282,0.1111
7,1104766,0.1111
9,748608,0.1111
9,748323,0.1111
9,1750348,0.1111
9,1750349,0.1111
9,748366,0.1111
9,1750350,0.1111
9,1750351,0.1111
9,748278,0.1111
9,330458,0.1111
10,328841,0.0455
10,746765,0.0455
10,746766,0.0455
10,746767,0.0455
10,2346384,0.0455
10,2346385,0.0455
10,2647438,0.0455
10,2647439,0.0455
10,2647440,0.0455
10,2647441,0.0455
10,2647442,0.0455
10,2647443,0.0455
10,329370,0.0455
10,747429,0.0455
10,325036,0.0455
10,328637,0.0455
10,325198,0.0455
10,2259795,0.0455
10,2259796,0.0455
10,329830,0.0455
10,323444,0.0455
10,326135,0.0455
11,2646170,0.1111
11,2727566,0.1111
11,2727567,0.1111
11,2727568,0.1111
11,2727569,0.1111
11,331960,0.1111
11,331897,0.1111
11,2514746,0.1111
11,2646171,0.1111
12,324653,1.0
13,332864,0.0588
13,746785,0.0588
13,2514747,0.0588
13,335912,0.0588
13,2710825,0.0588
13,2727570,0.0588
13,2727571,0.0588
13,747444,0.0588
13,330869,0.0588
13,2710837,0.0588
13,2514743,0.0588
13,2514744,0.0588
13,2514745,0.0588
13,2514746,0.0588
13,2262075,0.0588
13,746781,0.0588
13,2644285,0.0588
14,2644289,0.1429
14,335425,0.1429
14,2644290,0.1429
14,2644291,0.1429
14,747433,0.1429
14,1104812,0.1429
14,2512380,0.1429
21,2710840,0.0182
21,2710841,0.0182
21,2710842,0.0182
21,335245,0.0182
21,746765,0.0182
21,325524,0.0182
21,335774,0.0182
21,335777,0.0182
21,2710819,0.0182
21,2710820,0.0182
21,2710821,0.0182
21,335782,0.0182
21,747430,0.0182
21,335912,0.0182
21,335785,0.0182
21,747431,0.0182
21,747432,0.0182
21,747433,0.0182
21,747434,0.0182
21,747435,0.0182
21,747436,0.0182
21,747437,0.0182
21,747438,0.0182
21,747439,0.0182
21,747440,0.0182
21,747441,0.0182
21,747442,0.0182
21,747443,0.0182
21,335927,0.0182
21,747444,0.0182
21,747445,0.0182
21,335930,0.0182
21,335419,0.0182
21,747446,0.0182
21,2644281,0.0182
21,335422,0.0182
21,2644282,0.0182
21,2644283,0.0182
21,335425,0.0182
21,2644284,0.0182
21,336067,0.0182
21,335428,0.0182
21,2710827,0.0182
21,2710828,0.0182
21,335433,0.0182
21,335306,0.0182
21,2710829,0.0182
21,335695,0.0182
21,2710830,0.0182
21,335442,0.0182
21,323294,0.0182
21,329830,0.0182
21,2710835,0.0182
21,2710838,0.0182
21,2710839,0.0182
22,790146,0.0312
22,789890,0.0312
22,790018,0.0312
22,790276,0.0312
22,2003586,0.0312
22,2003587,0.0312
22,335240,0.0312
22,2003588,0.0312
22,2003589,0.0312
22,1104913,0.0312
22,1104812,0.0312
22,2261420,0.0312
22,2261421,0.0312
22,2261422,0.0312
22,2515377,0.0312
22,2710835,0.0312
22,2515382,0.0312
22,2710840,0.0312
22,789951,0.0312
22,1104705,0.0312
22,790085,0.0312
22,790214,0.0312
22,1104867,0.0312
22,325871,0.0312
22,2512371,0.0312
22,2512372,0.0312
22,2512373,0.0312
22,2512374,0.0312
22,2512375,0.0312
22,2512376,0.0312
22,2512377,0.0312
22,1104766,0.0312
23,321505,0.1
23,2685578,0.1
23,2685579,0.1
23,2685580,0.1
23,324653,0.1
23,325524,0.1
23,326196,0.1
23,746775,0.1
23,324860,0.1
23,323294,0.1
24,746777,0.25
24,332282,0.25
24,2685579,0.25
24,324038,0.25
25,748608,0.1111
25,748323,0.1111
25,1750348,0.1111
25,1750349,0.1111
25,748366,0.1111
25,1750351,0.1111
25,1750350,0.1111
25,748278,0.1111
25,330458,0.1111
28,2003595,0.04
28,335245,0.04
28,1105430,0.04
28,2346390,0.04
28,2258590,0.04
28,335774,0.04
28,2346399,0.04
28,335777,0.04
28,2346402,0.04
28,747430,0.04
28,747431,0.04
28,2346408,0.04
28,2346412,0.04
28,747438,0.04
28,747440,0.04
28,790577,0.04
28,747443,0.04
28,2710838,0.04
28,335930,0.04
28,335422,0.04
28,2644289,0.04
28,2644290,0.04
28,1750339,0.04
28,2263890,0.04
28,333281,0.04
29,328841,0.0455
29,746765,0.0455
29,746766,0.0455
29,746767,0.0455
29,2346384,0.0455
29,2346385,0.0455
29,2647438,0.0455
29,2647439,0.0455
29,2647440,0.0455
29,2647441,0.0455
29,2647442,0.0455
29,2647443,0.0455
29,329370,0.0455
29,747429,0.0455
29,325036,0.0455
29,328637,0.0455
29,325198,0.0455
29,2259795,0.0455
29,2259796,0.0455
29,329830,0.0455
29,323444,0.0455
29,326135,0.0455
31,2710826,1.0
32,332864,0.0833
32,746785,0.0833
32,2514747,0.0833
32,2727570,0.0833
32,2727571,0.0833
32,330869,0.0833
32,2514743,0.0833
32,2514744,0.0833
32,2514745,0.0833
32,2514746,0.0833
32,2262075,0.0833
32,746781,0.0833
33,2727587,0.0833
33,2727588,0.0833
33,2727589,0.0833
33,2003590,0.0833
33,2003591,0.0833
33,2003592,0.0833
33,2003593,0.0833
33,325287,0.0833
33,2003594,0.0833
33,2003595,0.0833
33,2003596,0.0833
33,2003597,0.0833
37,2003595,0.0357
37,335245,0.0357
37,1105430,0.0357
37,2346390,0.0357
37,2258588,0.0357
37,2258589,0.0357
37,2258590,0.0357
37,335774,0.0357
37,2346399,0.0357
37,335777,0.0357
37,2346402,0.0357
37,2258591,0.0357
37,747430,0.0357
37,747431,0.0357
37,2346408,0.0357
37,2346412,0.0357
37,747438,0.0357
37,747440,0.0357
37,790577,0.0357
37,747443,0.0357
37,2710838,0.0357
37,335930,0.0357
37,335422,0.0357
37,2644289,0.0357
37,2644290,0.0357
37,1750339,0.0357
37,2263890,0.0357
37,333281,0.0357
38,790146,0.0455
38,2003593,0.0455
38,746765,0.0455
38,1999629,0.0455
38,325287,0.0455
38,2710826,0.0455
38,747442,0.0455
38,2710835,0.0455
38,2710839,0.0455
38,335927,0.0455
38,2710840,0.0455
38,2710841,0.0455
38,2710842,0.0455
38,1104962,0.0455
38,790214,0.0455
38,1750347,0.0455
38,323793,0.0455
38,747997,0.0455
