fdc_id,description,food_category_id
321358,"Hummus, Commercial",16.0
321359,"Milk, Reduced fat, Fluid, 2% milkfat, With added vitamin a and vitamin d",1.0
321360,"Tomatoes, Grape, Raw",11.0
321505,"Salt, Table, Iodized",2.0
321611,"Beans, Snap, Green, Canned, Regular pack, Drained solids",11.0
321900,"Broccoli, Raw",11.0
322228,"Milk, Lowfat, Fluid, 1% milkfat, With added vitamin a and vitamin d",1.0
322559,"Milk, Nonfat, Fluid, With added vitamin a and vitamin d (fat free or skim)",1.0
322892,"Milk, Whole, 3. 25% milkfat, With added vitamin d",1.0
323121,"Frankfurter, Beef, Unheated",7.0
323294,"Nuts, Almonds, Dry roasted, With salt added",12.0
323444,"Cheese, Ricotta, Whole milk",1.0
323505,"Kale, Raw",11.0
323604,"Egg, Whole, Raw, Frozen, Pasteurized",1.0
323697,"Egg, White, Raw, Frozen, Pasteurized",1.0
323793,"Egg, White, Dried",1.0
324038,"Sauce, Salsa, Ready-to-serve",6.0
324157,"Sausage, Breakfast sausage, Beef, Pre-cooked, Unprepared",7.0
324317,"Onion rings, Breaded, Par fried, Frozen, Prepared, Heated in oven",11.0
324653,"Pickles, Cucumber, Dill or kosher dill",11.0
324860,"Peanut butter, Smooth style, With salt",16.0
325036,"Cheese, Parmesan, Grated",1.0
325198,"Cheese, Pasteurized process, American, Vitamin d fortified",1.0
325287,"Grapefruit juice, White, Canned or bottled, Unsweetened",9.0
325430,"Peaches, Yellow, Raw",9.0
325524,"Seeds, Sunflower seed kernels, Dry roasted, With salt added",12.0
325658,"Sausage, Italian, Pork, Mild, Cooked, Pan-fried",7.0
325871,"Bread, White, Commercially prepared",18.0
325992,"Sausage, Turkey, Breakfast links, Mild, Raw",7.0
326135,"Cheese, Swiss",1.0
326196,"Kale, Frozen, Cooked, Boiled, Drained, Without salt",11.0
326458,"Carrots, Frozen, Unprepared (includes foods for usda's food distribution program)",11.0
326698,"Mustard, Prepared, Yellow",2.0
326905,"Figs, Dried, Uncooked",9.0
327046,"Kiwifruit, Green, Raw",9.0
327198,"Melons, Cantaloupe, Raw",9.0
327357,"Nectarines, Raw",9.0
327501,"Oranges, Raw, Navels (includes foods for usda's food distribution program)",9.0
327699,"Strawberries, Raw",9.0
327923,"Lettuce, Cos or romaine, Raw",11.0
328637,"Cheese, Cheddar",1.0
328841,"Cheese, Cottage, Lowfat, 2% milkfat",1.0
329370,"Cheese, Mozzarella, Low moisture, Part-skim",1.0
329490,"Egg, Whole, Dried",1.0
329596,"Egg, Yolk, Raw, Frozen, Pasteurized",1.0
329716,"Egg, Yolk, Dried",1.0
329830,"Cheese, Dry white, Queso seco",1.0
330137,"Yogurt, Greek, Plain, Nonfat",1.0
330415,"Yogurt, Greek, Strawberry, Nonfat",1.0
330458,"Oil, Coconut",4.0
330869,"Turkey, Ground, 93% lean, 7% fat, Pan-broiled crumbles",5.0
331897,"Chicken, Broilers or fryers, Drumstick, Meat only, Cooked, Braised",5.0
331960,"Chicken, Broiler or fryers, Breast, Skinless, Boneless, Meat only, Cooked, Braised",5.0
332282,"Sauce, Pasta, Spaghetti/marinara, Ready-to-serve",6.0
332397,"Ham, Sliced, Pre-packaged, Deli meat (96%fat free, Water added)",7.0
332597,"Pears, Raw, Bartlett (includes foods for usda's food distribution program)",9.0
332791,"Olives, Green, Manzanilla, Stuffed with pimiento",9.0
332864,"Sausage, Pork, Chorizo, Link or ground, Cooked, Pan-fried",7.0
333008,"Cookies, Oatmeal, Soft, With raisins",18.0
333281,"Tomatoes, Canned, Red, Ripe, Diced",11.0
333374,"Fish, Haddock, Raw",15.0
333476,"Fish, Pollock, Raw",15.0
334194,"Fish, Tuna, Light, Canned in water, Drained solids",15.0
334247,"Sugars, Granulated",19.0
334462,"Restaurant, Chinese, Sweet and sour pork",25.0
334536,"Restaurant, Chinese, Fried rice, Without meat",25.0
334628,"Restaurant, Latino, Tamale, Pork",25.0
334720,"Restaurant, Latino, Pupusas con frijoles (pupusas, Bean)",25.0
334849,"Beef, Loin, Top loin steak, Boneless, Lip-on, Separable lean only, Trimmed to 1/8"" fat, Choice, Raw",13.0
334897,"Beef, Loin, Tenderloin roast, Separable lean only, Boneless, Trimmed to 0"" fat, Select, Cooked, Roasted",13.0
334898,"Beef, Round, Eye of round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
334963,"Beef, Round, Top round roast, Boneless, Separable lean only, Trimmed to 0"" fat, Select, Raw",13.0
335061,"Beef, Short loin, T-bone steak, Bone-in, Separable lean only, Trimmed to 1/8"" fat, Choice, Cooked, Grilled",13.0
335109,"Beef, Short loin, Porterhouse steak, Separable lean only, Trimmed to 1/8"" fat, Select, Raw",13.0
335240,"Bread, Whole-wheat, Commercially prepared",18.0
335245,"Beans, Dry, Dark red kidney (0% moisture)",16.0
335306,"Beans, Dry, Pink (0% moisture)",16.0
335419,"Beans, Dry, Navy (0% moisture)",16.0
335422,"Beans, Dry, Light red kidney (0% moisture)",16.0
335425,"Beans, Dry, Brown (0% moisture)",16.0
335428,"Beans, Dry, Flor de mayo (0% moisture)",16.0
335433,"Beans, Dry, Carioca (0% moisture)",16.0
335442,"Beans, Dry, Tan (0% moisture)",16.0
335695,"Beans, Dry, Pinto (0% moisture)",16.0
335774,"Beans, Dry, Small red (0% moisture)",16.0
335777,"Beans, Dry, Medium red (0% moisture)",16.0
335782,"Beans, Dry, Cranberry (0% moisture)",16.0
335785,"Beans, Dry, Light tan (0% moisture)",16.0
335912,"Beans, Dry, Black (0% moisture)",16.0
